PDB_file, description
il1r1-multiseed_seed-0_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=0 sample=0 template=off
il1r1-multiseed_seed-0_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=0 sample=1 template=off
il1r1-multiseed_seed-0_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=0 sample=2 template=off
il1r1-multiseed_seed-0_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=0 sample=3 template=off
il1r1-multiseed_seed-0_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=0 sample=4 template=off
il1r1-multiseed_seed-1_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=1 sample=0 template=off
il1r1-multiseed_seed-1_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=1 sample=1 template=off
il1r1-multiseed_seed-1_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=1 sample=2 template=off
il1r1-multiseed_seed-1_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=1 sample=3 template=off
il1r1-multiseed_seed-1_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=1 sample=4 template=off
il1r1-multiseed_seed-2_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=2 sample=0 template=off
il1r1-multiseed_seed-2_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=2 sample=1 template=off
il1r1-multiseed_seed-2_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=2 sample=2 template=off
il1r1-multiseed_seed-2_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=2 sample=3 template=off
il1r1-multiseed_seed-2_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=2 sample=4 template=off
il1r1-multiseed_seed-3_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=3 sample=0 template=off
il1r1-multiseed_seed-3_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=3 sample=1 template=off
il1r1-multiseed_seed-3_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=3 sample=2 template=off
il1r1-multiseed_seed-3_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=3 sample=3 template=off
il1r1-multiseed_seed-3_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=3 sample=4 template=off
il1r1-multiseed_seed-4_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=4 sample=0 template=off
il1r1-multiseed_seed-4_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=4 sample=1 template=off
il1r1-multiseed_seed-4_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=4 sample=2 template=off
il1r1-multiseed_seed-4_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=4 sample=3 template=off
il1r1-multiseed_seed-4_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=4 sample=4 template=off
il1r1-multiseed_seed-5_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=5 sample=0 template=off
il1r1-multiseed_seed-5_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=5 sample=1 template=off
